Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,1242.54,221 - Pavones,Calle Hacienda de Pavones nº 342
Sede QuedaT.com Villa de Vallecas,Instalaciones accesibles NO municipales,Calle Sierra Gador 19,2496.68,221 - Pavones,Calle Hacienda de Pavones nº 342
Sede QuedaT.com Villaverde,Instalaciones accesibles NO municipales,Calle Albino Hernández Lázaro 36,5224.14,235 - Embajadores 191,Calle Sodio nº 1B
Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,1310.65,227 - Concordia,Calle Arroyo del Olivar nº 6
Servicios centrales. Servicio Público de Empleo Estatal,Instalaciones accesibles NO municipales,Calle Victor De La Serna 43,475.37,160 - Colombia,Calle Colombia nº 7
Tanatorio Parque de San Isidro de Madrid,Instalaciones accesibles NO municipales,Calle Comuneros De Castilla 15,724.79,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Tanatorio Sur de Madrid,Instalaciones accesibles NO municipales,Calle Ildefonso Gonzalez Valencia 1,2798.02,228 - San Delfín,Calle San Delfín nº 9
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,222.61,60 - Plaza de la Independencia,Plaza de la Independencia nº 6
Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,137.49,201 - Canal,Calle José Abascal frente al nº 2
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,222.41,62 - O'Donnell,Calle O'Donnell nº 50
Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,2332.78,224 - Caramuel,Calle Caramuel nº 51
