Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
Oficina de Correos. Sucursal 26. Calle Longares,Instalaciones accesibles NO municipales,Calle Longares 30,3519.3,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Oficina de Correos. Sucursal 27. Calle Dobla,Instalaciones accesibles NO municipales,Calle Dobla 5,3871.68,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Oficina de Correos. Sucursal 31. Calle Islas Palaos,Instalaciones accesibles NO municipales,Calle Islas Palaos 30,1850.9,217 - Pedro Rico,Calle Pedro Rico nº 4
Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,Instalaciones accesibles NO municipales,Plaza Rogelio Enriquez 5,9231.26,261 - Facultad Derecho,Avenida Complutense nº 23
Oficina de Correos. Sucursal 33. Calle Caroli,Instalaciones accesibles NO municipales,Calle Caroli 10,6236.05,261 - Facultad Derecho,Avenida Complutense nº 23
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,782.81,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Oficina de Correos. Sucursal 36. Calle Orense,Instalaciones accesibles NO municipales,Calle Julias Besteiro  Esquina San Germán,149.55,154 - Orense 36,Calle Orense nº 36
Oficina de Correos. Sucursal 37. Calle Marqués de Corbera,Instalaciones accesibles NO municipales,Avenida Marques De Corbera 27,240.05,233 - Marqués de Corbera 12,Avenida Marqués de Corbera nº 12
Oficina de Correos. Sucursal 38. Calle Sierra de Gador,Instalaciones accesibles NO municipales,Calle Sierra Gador 50,2521.7,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Correos. Sucursal 39. Calle Arroyo de la Media Legua,Instalaciones accesibles NO municipales,Calle Arroyo De La Media Legua 56,245.72,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,86.3,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3
Oficina de Correos. Sucursal 41. Calle Sáhara,Instalaciones accesibles NO municipales,Calle Sahara 42 Y 44,3827.31,235 - Embajadores 191,Calle Sodio nº 1B
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,2159.01,207 - Remonta,Calle Azucenas nº 1
Oficina de Correos. Sucursal 44. Calle Padre Rubio,Instalaciones accesibles NO municipales,Calle Padre Rubio 43,759.09,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
Oficina de Correos. Sucursal 45. Avenida Valladolid,Instalaciones accesibles NO municipales,Avenida Valladolid 39,709.93,112 - Paseo de Moret,Paseo de Moret nº 11
Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 86,290.0,203 - San Francisco de Sales,Calle General Ampudia nº 2
Oficina de Correos. Sucursal 47. Calle Mar Caspio,Instalaciones accesibles NO municipales,Calle Mar Caspio 10,3327.62,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
