Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6257.84
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,Bicipark Recoletos,"Paseo de Recoletos, 2",6259.14
Sede QuedaT.com Hortaleza,Instalaciones accesibles NO municipales,Calle Mar Amarillo 4,Bicipark Orense,"Avenida General Perón, 27",6260.75
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,Bicipark Orense,"Avenida General Perón, 27",6268.98
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Recuerdo,"Calle Hiedra, 26",6269.78
Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Instalaciones accesibles NO municipales,Avenida Juan De Herrera 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6273.2
Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,Bicipark Almagro,"Calle Almagro, 11",6273.5
Oficina de Empleo Águeda Díez,Instalaciones accesibles NO municipales,Plaza Agueda Diez 4,Bicipark Almagro,"Calle Almagro, 11",6273.97
Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,Bicipark Orense,"Avenida General Perón, 27",6276.31
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,Bicipark Montalban,"Calle de Montalbán, 5",6280.01
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,Bicipark Recuerdo,"Calle Hiedra, 26",6280.06
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,Bicipark Montalban,"Calle de Montalbán, 5",6281.3
Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,Bicipark Montalban,"Calle de Montalbán, 5",6281.58
"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6282.78
Oficina de Correos. Sucursal 54. Calle Cardenal Herrera Oria,Instalaciones accesibles NO municipales,Avenida Cardenal Herrera Oria 241,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6285.05
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,Bicipark Recoletos,"Paseo de Recoletos, 2",6285.25
Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,Instalaciones accesibles NO municipales,Plaza Menendez Pelayo 4,Bicipark Recuerdo,"Calle Hiedra, 26",6285.97
Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,Bicipark Recoletos,"Paseo de Recoletos, 2",6287.7
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6290.96
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,Bicipark Recoletos,"Paseo de Recoletos, 2",6298.29
Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,Bicipark Recoletos,"Paseo de Recoletos, 2",6299.86
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6304.79
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,Bicipark Recuerdo,"Calle Hiedra, 26",6305.67
Centro de Día Privado 'Los Nogales Hortaleza',Instalaciones accesibles NO municipales,Calle Alcobendas 12,Bicipark Orense,"Avenida General Perón, 27",6309.91
