,Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
166,Escuela Infantil Betaria,Instalaciones accesibles NO municipales,Calle Padre Rubio 14,588.13,208 - Plaza de Castilla,Paseo de la Castellana nº 216
167,Escuela Infantil Conde de Elda,Instalaciones accesibles NO municipales,Calle Ponferrada 16,2059.28,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
168,Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,864.08,229 - C.D. Concepción,Calle Jose del Hierro nº 5
169,Escuela Infantil Pequeño Koala,Instalaciones accesibles NO municipales,Camino Viejo De Vicalvaro 20,2196.5,221 - Pavones,Calle Hacienda de Pavones nº 342
170,Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,90.61,211 - Desengaño,Calle Desengaño nº 1
171,Espacio para mayores Las Tablas,Instalaciones accesibles NO municipales,Avenida Camino De Santiago 39,9350.83,261 - Facultad Derecho,Avenida Complutense nº 23
172,Estación Sur de Autobuses de Madrid,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,363.25,180 - Méndez Álvaro,Calle Retama nº 5
173,Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,184.76,252 - Chamartín,Calle Rodríguez Jaén nº 40
174,Estación ferroviaria Madrid Puerta de Atocha,Instalaciones accesibles NO municipales,Plaza Emperador Carlos V,125.2,80b - Atocha B,Paseo de la Infanta Isabel nº 3
175,Fuente de San Isidro,Instalaciones accesibles NO municipales,Paseo Ermita Del Santo 72,704.87,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
176,"Fundación Síndrome de Down, centro ocupacional Tres olivos",Instalaciones accesibles NO municipales,Calle Cueva De Montesinos 45,2123.98,217 - Pedro Rico,Calle Pedro Rico nº 4
177,Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,254.79,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5
178,Hipódromo de la Zarzuela,Instalaciones accesibles NO municipales,Avenida Padre Huidobro  S/N Carretera De La Coruña Km. 8,3674.72,261 - Facultad Derecho,Avenida Complutense nº 23
179,Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,127.69,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44
180,Instalación Deportiva San Vicente de Paúl,Instalaciones accesibles NO municipales,Calle Pelicano 4,1923.38,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
181,Instalación deportiva para mayores Concepción Arenal,Instalaciones accesibles NO municipales,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,2653.97,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
182,Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Instalaciones accesibles NO municipales,Calle Andaluces 36,1262.91,221 - Pavones,Calle Hacienda de Pavones nº 342
183,Instituto de Educación Secundaria (IES) Antonio Machado,Instalaciones accesibles NO municipales,Calle Alfonso Fernandez 25,5585.8,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
184,Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,140.16,193 - Ventas,Avenida de los Toreros nº 49
185,Instituto de Educación Secundaria (IES) Barajas,Instalaciones accesibles NO municipales,Avenida America 119,5201.32,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
186,Instituto de Educación Secundaria (IES) Barrio de Bilbao,Instalaciones accesibles NO municipales,Calle Villaescusa 20,1504.83,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
187,Instituto de Educación Secundaria (IES) Celestino Mutis,Instalaciones accesibles NO municipales,Calle Huerta De Villaverde 15,4750.34,213 - Glorieta de Cádiz,Calle Antonio López nº 129
188,Instituto de Educación Secundaria (IES) Ciudad Escolar,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 12.800,5294.51,217 - Pedro Rico,Calle Pedro Rico nº 4
189,Instituto de Educación Secundaria (IES) Ciudad de Jaén,Instalaciones accesibles NO municipales,Camino Rio 5,1926.01,213 - Glorieta de Cádiz,Calle Antonio López nº 129
190,Instituto de Educación Secundaria (IES) Conde de Orgaz,Instalaciones accesibles NO municipales,Calle Napoles 56,1829.52,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
191,Instituto de Educación Secundaria (IES) Eijo y Garay,Instalaciones accesibles NO municipales,Calle Severino Aznar Embid 6,1046.16,224 - Caramuel,Calle Caramuel nº 51
192,Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,183.89,198 - Rubén Darío,Glorieta Rubén Darío 2
193,Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,6035.19,224 - Caramuel,Calle Caramuel nº 51
194,Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,5851.13,224 - Caramuel,Calle Caramuel nº 51
195,Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,1899.03,207 - Remonta,Calle Azucenas nº 1
196,Instituto de Educación Secundaria (IES) Isaac Newton,Instalaciones accesibles NO municipales,Calle Joaquin Lorenzo 2,2454.2,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
197,Instituto de Educación Secundaria (IES) Iturralde,Instalaciones accesibles NO municipales,Calle Nuestra Señora De La Luz 53,3616.66,224 - Caramuel,Calle Caramuel nº 51
198,Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Instalaciones accesibles NO municipales,Calle Casalarreina 28,2478.52,221 - Pavones,Calle Hacienda de Pavones nº 342
199,Instituto de Educación Secundaria (IES) Juana de Castilla,Instalaciones accesibles NO municipales,Calle Valdebernardo 3,272.0,221 - Pavones,Calle Hacienda de Pavones nº 342
200,Instituto de Educación Secundaria (IES) Manuel Fraga Iribarne,Instalaciones accesibles NO municipales,Avenida Niceto Alcala Zamora 54,3880.6,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
201,Instituto de Educación Secundaria (IES) María Rodrigo,Instalaciones accesibles NO municipales,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",4075.88,221 - Pavones,Calle Hacienda de Pavones nº 342
202,Instituto de Educación Secundaria (IES) Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Diego De Valderrabano 35,541.23,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
203,Instituto de Educación Secundaria (IES) Nuestra Señora de la Almudena,Instalaciones accesibles NO municipales,Plaza Remonta 17,162.36,207 - Remonta,Calle Azucenas nº 1
204,Instituto de Educación Secundaria (IES) Numancia,Instalaciones accesibles NO municipales,Calle Las Marismas 14,572.56,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
205,Instituto de Educación Secundaria (IES) Parque Aluche,Instalaciones accesibles NO municipales,Calle Maqueda 86,4469.02,224 - Caramuel,Calle Caramuel nº 51
206,Instituto de Educación Secundaria (IES) Pedro Salinas,Instalaciones accesibles NO municipales,Calle General Marva 24,635.45,228 - San Delfín,Calle San Delfín nº 9
207,Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,1670.42,217 - Pedro Rico,Calle Pedro Rico nº 4
208,Instituto de Educación Secundaria (IES) Renacimiento,Instalaciones accesibles NO municipales,Calle Castellflorite 4,2048.1,224 - Caramuel,Calle Caramuel nº 51
209,Instituto de Educación Secundaria (IES) Salvador Dalí,Instalaciones accesibles NO municipales,Calle Verdaguer Y Garcia 2,70.56,231 - Derechos Humanos,Calle Derechos Humanos nº 12
210,Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,Instalaciones accesibles NO municipales,Plaza Pinazo 7,5223.43,235 - Embajadores 191,Calle Sodio nº 1B
211,Instituto de Educación Secundaria (IES) San Fernando,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo Km.13500,5269.78,217 - Pedro Rico,Calle Pedro Rico nº 4
212,Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,123.8,54 - Barceló,Calle Barceló nº 7
213,Instituto de Educación Secundaria (IES) Santa Eugenia,Instalaciones accesibles NO municipales,Calle Cerro De Almodovar 5,3837.39,221 - Pavones,Calle Hacienda de Pavones nº 342
214,Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,316.34,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
215,Instituto de Educación Secundaria (IES) Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Indalecio Prieto 1,1795.57,221 - Pavones,Calle Hacienda de Pavones nº 342
216,Instituto de Educación Secundaria (IES) Villa de Vallecas,Instalaciones accesibles NO municipales,Calle Villarino De Los Aires 14,3032.35,221 - Pavones,Calle Hacienda de Pavones nº 342
217,Instituto de Educación Secundaria (IES) Villaverde,Instalaciones accesibles NO municipales,Calle Alianza 20,3543.2,235 - Embajadores 191,Calle Sodio nº 1B
218,Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,2653.83,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
219,Intercambiador de transporte. Aeropuerto T1 - T2 - T3,Instalaciones accesibles NO municipales,Avenida Hispanidad 44,9040.55,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
220,Intercambiador de transporte. Aeropuerto T4,Instalaciones accesibles NO municipales,Carretera M-110 250,8134.15,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
221,Intercambiador de transporte. Aluche,Instalaciones accesibles NO municipales,Avenida Poblados 41,4450.98,224 - Caramuel,Calle Caramuel nº 51
222,Intercambiador de transporte. Avenida de América,Instalaciones accesibles NO municipales,Intercambiador Avenida De America,90.51,194 - Avenida de América 2,Calle Francisco Silvela nº 86
223,Intercambiador de transporte. Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 40,38.92,252 - Chamartín,Calle Rodríguez Jaén nº 40
224,Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,67.81,110 - Moncloa,Paseo de Moret nº 2
225,Intercambiador de transporte. Méndez Álvaro - Estación Sur,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,333.39,180 - Méndez Álvaro,Calle Retama nº 5
226,Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,102.8,138 - Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde
227,Intercambiador de transporte. Plaza Elíptica,Instalaciones accesibles NO municipales,Plaza Eliptica 3,1523.16,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
228,Intercambiador de transporte. Plaza de Castilla,Instalaciones accesibles NO municipales,Paseo Castellana 195,158.15,208 - Plaza de Castilla,Paseo de la Castellana nº 216
229,Intercambiador de transporte. Príncipe Pío,Instalaciones accesibles NO municipales,Paseo Florida 2,240.97,161 - Paseo de la Florida,Paseo de la Florida nº 8
230,Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,37.19,33 - Carretas,Calle Carretas nº 8
231,Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,434.95,161 - Paseo de la Florida,Paseo de la Florida nº 8
232,La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,57.26,49 - Casa Encendida,Ronda de Atocha nº 34
233,La Neomudéjar,Instalaciones accesibles NO municipales,Calle Antonio Nebrija  Sin Número,363.87,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38
234,Mercado de San Miguel,Instalaciones accesibles NO municipales,Plaza San Miguel,25.33,9 - Plaza de San Miguel,Plaza de San Miguel nº 9
235,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",Instalaciones accesibles NO municipales,Plaza Provincia 1,36.29,32 - Plaza de la Provincia,Plaza de la Provincia nº 1
236,Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,235.18,238 - San Germán 5,Calle San Germán nº 5
237,Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,207.41,247 - Zurbano,Calle Zurbano nº 90
238,Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,182.99,27 - Huertas,Calle Jesús nº 1
239,Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,211.01,104 - Castellana,Paseo de la Castellana nº 4
240,Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,162.77,250 - Serrano 113,Calle Serrano nº 113B
241,Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,101.11,13 - Conde Duque,Calle Conde Duque nº 22
242,Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,166.42,95 - Villanueva,Calle Claudio Coello nº 109
243,Museo Casa de la Moneda,Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 36,61.51,101 - Jorge Juan,Calle Jorge Juan nº 131
244,Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,167.07,24 - Palacio de Oriente,Calle Carlos III nº 1
245,Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,367.72,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
246,Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,73.87,50 - Museo Reina Sofía,Calle Santa Isabel nº 57
247,Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,114.54,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
248,Museo Nacional de Antropología,Instalaciones accesibles NO municipales,Calle Alfonso Xii 68,147.4,80b - Atocha B,Paseo de la Infanta Isabel nº 3
249,Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,104.41,139 - José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2
250,Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,117.11,86 - Cibeles,Plaza Cibeles
251,Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,4801.09,261 - Facultad Derecho,Avenida Complutense nº 23
252,Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,242.86,155 - San Germán 57,Calle San Germán nº 57
253,Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,402.2,110 - Moncloa,Paseo de Moret nº 2
254,Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,106.52,246 - Santa Engracia 87,Calle Santa Engracia nº 87
255,Museo de Mineralogía,Instalaciones accesibles NO municipales,Calle Francisco Tomas Y Valiente 7 Facultad De Ciencias - Departamento Geología Y Geoquímica,7196.26,217 - Pedro Rico,Calle Pedro Rico nº 4
256,Museo de la Catedral de la Almudena,Instalaciones accesibles NO municipales,Calle Bailen 10,191.3,166 - Segovia 26,Calle Segovia nº 26
257,Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,112.94,1b - Puerta del Sol B,Puerta del Sol nº 1
258,Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,71.1,172 - Delicias,Calle Bustamante nº 1
259,Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,166.62,68 - Espalter,Calle Espalter nº 1
260,Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,134.97,7 - Hortaleza,Calle Hortaleza nº 75
261,Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Instalaciones accesibles NO municipales,Avenida Juan De Herrera 2,252.1,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
262,Norte Joven Fuencarral,Instalaciones accesibles NO municipales,Calle Ribadavia 20,1362.9,207 - Remonta,Calle Azucenas nº 1
263,Numen centro de atención integral,Instalaciones accesibles NO municipales,Calle Tabatinga 11 Planta Baja,1794.33,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
264,Oficina Joven TIVE - Moncloa,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 88,40.26,111b - Arcipreste de Hita B,Calle Arcipreste de Hita nº 12
265,Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,86.35,86 - Cibeles,Plaza Cibeles
266,Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,167.55,102 - Velázquez,Calle Alcalá nº 95
267,Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,96.68,196 - Prosperidad,Calle Suero de Quiñones nº 2
268,Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,95.53,132 - Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168
269,Oficina de Correos. Sucursal 04. Calle General Ricardos,Instalaciones accesibles NO municipales,Calle General Ricardos 212,2750.23,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
270,Oficina de Correos. Sucursal 05. Carrera de San Francisco,Instalaciones accesibles NO municipales,Carrera San Francisco 13,96.09,37 - Plaza de San Francisco,Plaza de San Francisco nº 5
271,Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,223.4,190 - Velázquez-Diego de León,Calle Velázquez nº 91
272,Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,Instalaciones accesibles NO municipales,Calle Palos De La Frontera 6 Y 10,162.24,121 - Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58
273,Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,Instalaciones accesibles NO municipales,Calle Martires Concepcionistas 21,101.9,145 - Ortega y Gasset 87,Calle Ortega y Gasset nº 87
274,Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,279.59,4 - Malasaña,Calle Manuela Malasaña nº 5
275,"Oficina de Correos. Sucursal 102. Avenida Ensanche de Vallecas, 106-108",Instalaciones accesibles NO municipales,Avenida Ensanche De Vallecas 106,6198.5,221 - Pavones,Calle Hacienda de Pavones nº 342
276,Oficina de Correos. Sucursal 13. Avenida América,Instalaciones accesibles NO municipales,Avenida América 3,86.75,194 - Avenida de América 2,Calle Francisco Silvela nº 86
277,Oficina de Correos. Sucursal 15. Calle Jacinto Verdaguer,Instalaciones accesibles NO municipales,Calle Jacinto Verdaguer 4,338.89,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
278,Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,199.6,16 - San Bernardo,Calle San Bernardo nº 22
279,Oficina de Correos. Sucursal 19. Calle Chile,Instalaciones accesibles NO municipales,Calle Chile 4,199.62,160 - Colombia,Calle Colombia nº 7
280,Oficina de Correos. Sucursal 20. Calle Alcalde López Casero,Instalaciones accesibles NO municipales,Calle Alcalde Lopez Casero 3,287.86,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18
281,Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,84.66,63 - Ibiza,Calle Ibiza nº 62
282,Oficina de Correos. Sucursal 24. Plaza Párroco Luis Calleja,Instalaciones accesibles NO municipales,Plaza Parroco Luis Calleja 12,3682.38,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
283,Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,263.51,155 - San Germán 57,Calle San Germán nº 57
284,Oficina de Correos. Sucursal 26. Calle Longares,Instalaciones accesibles NO municipales,Calle Longares 30,3519.3,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
285,Oficina de Correos. Sucursal 27. Calle Dobla,Instalaciones accesibles NO municipales,Calle Dobla 5,3871.68,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
286,Oficina de Correos. Sucursal 31. Calle Islas Palaos,Instalaciones accesibles NO municipales,Calle Islas Palaos 30,1850.9,217 - Pedro Rico,Calle Pedro Rico nº 4
287,Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,Instalaciones accesibles NO municipales,Plaza Rogelio Enriquez 5,9231.26,261 - Facultad Derecho,Avenida Complutense nº 23
288,Oficina de Correos. Sucursal 33. Calle Caroli,Instalaciones accesibles NO municipales,Calle Caroli 10,6236.05,261 - Facultad Derecho,Avenida Complutense nº 23
289,Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,782.81,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
290,Oficina de Correos. Sucursal 36. Calle Orense,Instalaciones accesibles NO municipales,Calle Julias Besteiro  Esquina San Germán,149.55,154 - Orense 36,Calle Orense nº 36
291,Oficina de Correos. Sucursal 37. Calle Marqués de Corbera,Instalaciones accesibles NO municipales,Avenida Marques De Corbera 27,240.05,233 - Marqués de Corbera 12,Avenida Marqués de Corbera nº 12
292,Oficina de Correos. Sucursal 38. Calle Sierra de Gador,Instalaciones accesibles NO municipales,Calle Sierra Gador 50,2521.7,221 - Pavones,Calle Hacienda de Pavones nº 342
293,Oficina de Correos. Sucursal 39. Calle Arroyo de la Media Legua,Instalaciones accesibles NO municipales,Calle Arroyo De La Media Legua 56,245.72,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
294,Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,86.3,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3
295,Oficina de Correos. Sucursal 41. Calle Sáhara,Instalaciones accesibles NO municipales,Calle Sahara 42 Y 44,3827.31,235 - Embajadores 191,Calle Sodio nº 1B
296,Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,2159.01,207 - Remonta,Calle Azucenas nº 1
297,Oficina de Correos. Sucursal 44. Calle Padre Rubio,Instalaciones accesibles NO municipales,Calle Padre Rubio 43,759.09,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
298,Oficina de Correos. Sucursal 45. Avenida Valladolid,Instalaciones accesibles NO municipales,Avenida Valladolid 39,709.93,112 - Paseo de Moret,Paseo de Moret nº 11
299,Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 86,290.0,203 - San Francisco de Sales,Calle General Ampudia nº 2
300,Oficina de Correos. Sucursal 47. Calle Mar Caspio,Instalaciones accesibles NO municipales,Calle Mar Caspio 10,3327.62,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
301,Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,Instalaciones accesibles NO municipales,Calle Condesa Vega Del Pozo 29 Y 31,3188.8,221 - Pavones,Calle Hacienda de Pavones nº 342
302,Oficina de Correos. Sucursal 50. Avenida Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 13,4647.5,224 - Caramuel,Calle Caramuel nº 51
303,Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,686.55,217 - Pedro Rico,Calle Pedro Rico nº 4
304,Oficina de Correos. Sucursal 52. Calle Monte Olivetti,Instalaciones accesibles NO municipales,Calle Monte Oliveti 29,306.25,179 - Puente de Vallecas,Avenida de la Albufera nº 6
305,Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,96.44,89 - Conde Peñalver,Calle Ayala nº 102
306,Oficina de Correos. Sucursal 54. Calle Cardenal Herrera Oria,Instalaciones accesibles NO municipales,Avenida Cardenal Herrera Oria 241,3026.74,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
307,Oficina de Correos. Sucursal 56. Calle Carlina,Instalaciones accesibles NO municipales,Calle Carlina 8,2582.52,224 - Caramuel,Calle Caramuel nº 51
308,Oficina de Correos. Sucursal 57. Plaza Movimiento Ciudadano,Instalaciones accesibles NO municipales,Plaza Movimiento Ciudadano 1,2237.01,213 - Glorieta de Cádiz,Calle Antonio López nº 129
309,Oficina de Correos. Sucursal 58. Universidad Autónoma Cantoblanco,Instalaciones accesibles NO municipales,Calle Kant  Sin Número,7119.62,217 - Pedro Rico,Calle Pedro Rico nº 4
310,Oficina de Correos. Sucursal 59. Calle Alanis,Instalaciones accesibles NO municipales,Calle Alanis 1,7952.87,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
311,Oficina de Correos. Sucursal 60. Calle Arquitecto López Otero,Instalaciones accesibles NO municipales,Calle Arquitecto Lopez Otero 3,153.33,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
312,Oficina de Correos. Sucursal 61. Camino Hormigueras,Instalaciones accesibles NO municipales,Camino Hormigueras 169,2597.53,221 - Pavones,Calle Hacienda de Pavones nº 342
313,Oficina de Correos. Sucursal 62. Calle La Rioja. Alameda de Osuna,Instalaciones accesibles NO municipales,Calle La Rioja 11,6564.24,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
314,Oficina de Correos. Sucursal 64. Aeropuerto T1. Llegadas Sala 1,Instalaciones accesibles NO municipales,Aeropuerto T1 T2 T3  Sala 1 (Llegadas),8744.57,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
315,Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,239.79,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
316,Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,1848.13,221 - Pavones,Calle Hacienda de Pavones nº 342
317,Oficina de Correos. Sucursal 77. Calle Eduardo Barreiros,Instalaciones accesibles NO municipales,Calle Eduardo Barreiros 3 Y 5,1816.23,213 - Glorieta de Cádiz,Calle Antonio López nº 129
318,Oficina de Correos. Sucursal 78. Centro Comercial Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Jose Prat 35,1801.74,221 - Pavones,Calle Hacienda de Pavones nº 342
319,Oficina de Correos. Sucursal 82. Avenida Santuario de Valverde,Instalaciones accesibles NO municipales,Avenida Santuario De Valverde 45,3123.81,217 - Pedro Rico,Calle Pedro Rico nº 4
320,Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,160.7,7 - Hortaleza,Calle Hortaleza nº 75
321,Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,1492.36,227 - Concordia,Calle Arroyo del Olivar nº 6
322,"Oficina de Correos. Sucursal 99. Calle Pegaso, 24",Instalaciones accesibles NO municipales,Calle Pegaso 24,2330.5,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
