,Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
52,Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,108.14,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3
53,Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,831.57,221 - Pavones,Calle Hacienda de Pavones nº 342
54,Centro de Día Privado 'Los Nogales Hortaleza',Instalaciones accesibles NO municipales,Calle Alcobendas 12,3655.3,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
55,Centro de Día Privado 'Muguet',Instalaciones accesibles NO municipales,Calle Muguet 7,4606.11,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
56,Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,325.03,152 - General Perón 1,Avenida del General Perón frente al nº 4
57,Centro de Día Privado 'Sanivida Arganzuela',Instalaciones accesibles NO municipales,Calle Puerto De La Cruz Verde 14 Planta Bajo,477.64,235 - Embajadores 191,Calle Sodio nº 1B
58,Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,239.78,124 - Manuel Silvela,Calle Manuel Silvela nº 20
59,Centro de Día Privado 'Trébol',Instalaciones accesibles NO municipales,Calle Palomares 71,4841.71,213 - Glorieta de Cádiz,Calle Antonio López nº 129
60,Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,5648.72,224 - Caramuel,Calle Caramuel nº 51
61,Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,142.47,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64
62,Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Instalaciones accesibles NO municipales,Calle Mar Amarillo 21,3562.38,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
63,Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,222.97,72 - Sainz de Baranda,Calle Doctor Esquerdo nº 99
64,Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,212.11,142 - Castellana 42,Paseo de la Castellana nº 42
65,Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 15 Delicias - Usera,Instalaciones accesibles NO municipales,Calle Amor Hermoso 52 Y 54,632.44,213 - Glorieta de Cádiz,Calle Antonio López nº 129
66,Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 4 Vallecas,Instalaciones accesibles NO municipales,Calle Picos De Europa 49,574.66,226 - Sierra Toledana,Camino de Valderribas nº 94
67,Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 5 Ciudad Lineal,Instalaciones accesibles NO municipales,Calle Miguel Fleta 3,999.7,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
68,Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 7 Carabanchel,Instalaciones accesibles NO municipales,Avenida Pedro Diez 19,1762.84,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
69,Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 8 Villaverde,Instalaciones accesibles NO municipales,Avenida Real De Pinto 7 Y 9,4565.03,213 - Glorieta de Cádiz,Calle Antonio López nº 129
70,Centro de donación de sangre de Cruz Roja,Instalaciones accesibles NO municipales,Calle Juan Montalvo 3,417.12,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1
71,Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,154.64,4 - Malasaña,Calle Manuela Malasaña nº 5
72,Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,88.85,199 - Fernando el Católico,Calle Fernando el Católico nº 61
73,Centro de día Funprodami,Instalaciones accesibles NO municipales,Calle Garcia Miranda 4,1218.38,227 - Concordia,Calle Arroyo del Olivar nº 6
74,Centro de día San Alfonso,Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 75 Planta Bajo,1723.56,213 - Glorieta de Cádiz,Calle Antonio López nº 129
75,Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,263.11,183 - Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135
76,Centro de día y centro de rehabilitación Fundación Manantial para personas con trastorno mental grave de Barajas,Instalaciones accesibles NO municipales,Plaza Hermanos Falco Y Alvarez De Toledo 1,8548.04,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
77,Centro de día y centro ocupacional para la atención al funcionamiento de personas con patología dual Pardo Valcarce,Instalaciones accesibles NO municipales,Calle Monasterio De Las Huelgas 15,3228.74,217 - Pedro Rico,Calle Pedro Rico nº 4
78,Centro de día y residencia Medinaceli para personas con discapacidad intelectual,Instalaciones accesibles NO municipales,Calle Estudiantes 3,151.04,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
79,"Centro de día, centro ocupacional y residencia APADEMA",Instalaciones accesibles NO municipales,Calle Moralzarzal 73,3393.51,217 - Pedro Rico,Calle Pedro Rico nº 4
80,Centro de enseñanza CESUR - Madrid II,Instalaciones accesibles NO municipales,Calle Albarracin 27,1094.0,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
81,Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,171.69,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas
82,Centro de rehabilitación Orpea Madrid Mirasierra,Instalaciones accesibles NO municipales,Avenida Ventisquero De La Condesa 46 Planta Baja,3618.17,217 - Pedro Rico,Calle Pedro Rico nº 4
83,Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,1852.88,221 - Pavones,Calle Hacienda de Pavones nº 342
84,Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,2652.27,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
85,Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,324.36,221 - Pavones,Calle Hacienda de Pavones nº 342
86,Cine Cinesa Las Rosas,Instalaciones accesibles NO municipales,Avenida Guadalajara 2,2409.92,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
87,Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,2342.47,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
88,Cine Cinesa Méndez Álvaro,Instalaciones accesibles NO municipales,Calle Acanto 2,270.02,180 - Méndez Álvaro,Calle Retama nº 5
89,Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,292.2,200 - Quevedo,Glorieta de Quevedo nº 5
90,Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,2159.01,207 - Remonta,Calle Azucenas nº 1
91,Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,5540.2,261 - Facultad Derecho,Avenida Complutense nº 23
92,Colegio Comunidad Infantil Villaverde,Instalaciones accesibles NO municipales,Calle Villastar 10,5240.05,213 - Glorieta de Cádiz,Calle Antonio López nº 129
93,Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,2581.15,221 - Pavones,Calle Hacienda de Pavones nº 342
94,Colegio El Valle II,Instalaciones accesibles NO municipales,Calle Ana De Austria 60,4223.69,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
95,Colegio Internacional J.H. Newman,Instalaciones accesibles NO municipales,Avenida Guadalajara 28,2994.75,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
96,Colegio Jesús María. Calle Hermanos García Noblejas 68,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 68,951.7,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
97,Colegio Juan de Valdés,Instalaciones accesibles NO municipales,Avenida Canillejas A Vicalvaro 135,3472.35,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
98,Colegio La Salle-La Paloma - Fundación Lara,Instalaciones accesibles NO municipales,Calle Paloma 21,152.01,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1
99,Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,1799.7,261 - Facultad Derecho,Avenida Complutense nº 23
