,Place of interest,Postal code,Place address,place_lat,place_long
135,Colegio Público Nuestra Señora de la Paloma,28005,Calle Tabernillas 2,40.4110845196558,-3.711383150975494
136,Colegio Público Parque Aluche,28024,Calle Quero 47,40.39083157827759,-3.760997850579394
137,Colegio Público Pinar de San José,28054,Calle Patrimonio De La Humanidad 39,40.36301638063713,-3.764359559786085
138,Colegio Público Reina Victoria,28006,Calle Principe De Vergara 61,40.43350060791133,-3.679668747386544
139,Colegio Público San Juan de la Cruz,28016,Calle Honduras 10,40.459537375982286,-3.67954186336266
140,Colegio Público Tomás Bretón,28005,Calle Alejandro Dumas 4,40.40106583461258,-3.7158617370259046
141,Colegio Público Virgen del Cerro,28038,Calle Mohernando 1,40.39595533182647,-3.6491021370173584
142,Colegio Público de Educación Especial Francisco del Pozo,28034,Callejon Domine 6,40.49435246094298,-3.6864068730715593
143,Colegio Público de Educación Especial Fundación Goyeneche,28037,Calle Arcos De Jalon 22,40.420974388816376,-3.6210638106643493
144,Colegio Público de Educación Especial María Soriano,28054,Avenida Peseta 30,40.36290495205625,-3.762132345064474
145,Colegio Sagrado Corazón. Avenida Alfonso XIII.,28016,Avenida Alfonso Xiii 127,40.460028879402834,-3.670972193064647
146,Colegio Santa María la Blanca,28049,Calle Monasterio De Oseira 17,40.51054166910342,-3.6969116709157026
147,Colegio Santo Domingo Savio,28017,Calle Santo Domingo Savio 2,40.43032479232779,-3.6345189511919482
148,Colegio Scuola Materna Italiana de Madrid,28003,Calle Agustin De Betancourt 1,40.442066612982124,-3.695083815448108
149,Colegio Stella Maris La Gavia,28051,Calle Peñaranda De Bracamonte 9,40.37270234365836,-3.606025847123412
150,Colegio Tajamar,28038,Calle Pio Felipe 12,40.39676067827939,-3.6500761173002196
151,Colegio Ártica,28054,Calle Morales 25,40.360583854186764,-3.7561469709080026
152,Comisaría de Policía (Carabanchel),28025,Calle Padre Amigo 3,40.379768113568105,-3.739993262053216
153,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),28016,Avenida Pio Xii 48,40.46915689606766,-3.6729694095528673
154,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),28027,Travesia Virgen De La Roca 25 Posterior,40.43520269593105,-3.6564092217855446
155,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),28035,Calle Mirador De La Reina 4,40.4881100148485,-3.7261926711119475
156,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),28043,Calle Javier Del Quinto,40.46850680550201,-3.642345049181705
157,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),28047,Avenida Poblados 51,40.38233079912446,-3.757489014363299
158,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas),28037,Calle Alberique 20,40.429239862474745,-3.6159089904147423
159,Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),28026,Calle Primitiva Gañan 6,40.38071166272933,-3.7092651262474137
160,Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,28035,Carretera El Pardo 41,40.486848912529666,-3.7540378095860047
161,Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,28013,Calle Gran Via 3,40.41926056659921,-3.698446204570639
162,Congreso de los Diputados,28014,Plaza Cortes 1,40.41613046484743,-3.6966842336054686
163,Consorcio Regional de Transportes Públicos Regulares de Madrid,28003,Plaza Descubridor Diego De Ordas 3 Planta Baja,40.440793481160625,-3.7001445607206938
164,Círculo de Empresarios,28001,Calle Marques De Villamagna 3 Planta 11,40.42938240691158,-3.687760050252277
165,Delegación Especial de Madrid. AEAT,28003,Calle Guzman El Bueno 139,40.445472489278124,-3.7124852981854684
166,Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,28003,Calle Maudes 17,40.44539205139684,-3.7011974227253477
167,Escuela Infantil Betaria,28029,Calle Padre Rubio 14,40.470400131156026,-3.6920375063785813
168,Escuela Infantil Conde de Elda,28029,Calle Ponferrada 16,40.47467208571966,-3.712513909298784
169,Escuela Infantil Jesús Niño,28027,Calle Florencio Garcia 12,40.43855176869111,-3.6407392927277145
170,Escuela Infantil Pequeño Koala,28032,Camino Viejo De Vicalvaro 20,40.40486034949131,-3.615412122565672
171,Espacio Fundación Telefónica,28004,Calle Fuencarral 3,40.42042493125648,-3.701594573150366
172,Espacio para mayores Las Tablas,28048,Avenida Camino De Santiago 39,40.51973221668713,-3.777683378503506
