BiciPARK station,Spots available
Bicipark Fuente de la Mora,9
Bicipark Orense,9
Bicipark Montalban,15
Bicipark Almagro,12
Bicipark Recoletos,3
Bicipark Recuerdo,13
Bicipark Salamanca,1
Bicipark Villa de Paris,8
Bicipark Pitis,7
Bicipark Aviación,10
