Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,29.74,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,105.83,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,204.91,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,205.33,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,210.18,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,210.96,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,217.68,Bicipark Montalban,"Calle de Montalbán, 5",15
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,250.43,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,265.67,Bicipark Orense,"Avenida General Perón, 27",9
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,287.05,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,301.68,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,323.06,Bicipark Orense,"Avenida General Perón, 27",9
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,324.19,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,327.59,Bicipark Almagro,"Calle Almagro, 11",12
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,332.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,332.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,334.18,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,353.16,Bicipark Orense,"Avenida General Perón, 27",9
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,358.92,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,364.05,Bicipark Montalban,"Calle de Montalbán, 5",15
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,367.18,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,367.18,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 36. Calle Orense,Instalaciones accesibles NO municipales,Calle Julias Besteiro  Esquina San Germán,371.54,Bicipark Orense,"Avenida General Perón, 27",9
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,375.33,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,381.95,Bicipark Recuerdo,"Calle Hiedra, 26",13
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,391.22,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,422.11,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,431.22,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,434.49,Bicipark Orense,"Avenida General Perón, 27",9
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,436.99,Bicipark Orense,"Avenida General Perón, 27",9
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,454.52,Bicipark Almagro,"Calle Almagro, 11",12
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,466.59,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,482.96,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,488.39,Bicipark Montalban,"Calle de Montalbán, 5",15
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,491.15,Bicipark Almagro,"Calle Almagro, 11",12
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,500.59,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,502.72,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,514.85,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,519.67,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,531.1,Bicipark Montalban,"Calle de Montalbán, 5",15
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,537.43,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,540.76,Bicipark Montalban,"Calle de Montalbán, 5",15
Intercambiador de transporte. Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 40,542.17,Bicipark Recuerdo,"Calle Hiedra, 26",13
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,557.24,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,559.43,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,560.99,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,566.25,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,567.97,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,574.03,Bicipark Orense,"Avenida General Perón, 27",9
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,581.32,Bicipark Almagro,"Calle Almagro, 11",12
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,611.69,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,627.07,Bicipark Almagro,"Calle Almagro, 11",12
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,629.78,Bicipark Montalban,"Calle de Montalbán, 5",15
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,644.13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,647.94,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,658.25,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,681.89,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,682.45,Bicipark Recuerdo,"Calle Hiedra, 26",13
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,682.85,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,694.13,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,694.23,Bicipark Montalban,"Calle de Montalbán, 5",15
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,695.16,Bicipark Montalban,"Calle de Montalbán, 5",15
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,702.38,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,703.07,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,706.17,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,706.7,Bicipark Almagro,"Calle Almagro, 11",12
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,709.39,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,724.8,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,729.89,Bicipark Almagro,"Calle Almagro, 11",12
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,736.91,Bicipark Orense,"Avenida General Perón, 27",9
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,744.29,Bicipark Orense,"Avenida General Perón, 27",9
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,753.2,Bicipark Montalban,"Calle de Montalbán, 5",15
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,756.72,Bicipark Recuerdo,"Calle Hiedra, 26",13
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,764.93,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,779.19,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,781.86,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,784.4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,786.29,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,790.88,Bicipark Montalban,"Calle de Montalbán, 5",15
Centro de rehabilitación Orpea Madrid Mirasierra,Instalaciones accesibles NO municipales,Avenida Ventisquero De La Condesa 46 Planta Baja,792.08,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,795.15,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,795.15,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,795.44,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,796.05,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,810.9,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,813.83,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,827.87,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,827.91,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,833.23,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,836.52,Bicipark Montalban,"Calle de Montalbán, 5",15
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,845.87,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,850.13,Bicipark Almagro,"Calle Almagro, 11",12
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,850.38,Bicipark Montalban,"Calle de Montalbán, 5",15
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,855.58,Bicipark Almagro,"Calle Almagro, 11",12
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,863.47,Bicipark Montalban,"Calle de Montalbán, 5",15
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,867.25,Bicipark Almagro,"Calle Almagro, 11",12
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,868.47,Bicipark Almagro,"Calle Almagro, 11",12
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,870.07,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,874.18,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,883.08,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Mirador De La Reina 4,883.5,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 13. Avenida América,Instalaciones accesibles NO municipales,Avenida América 3,884.68,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Intercambiador de transporte. Avenida de América,Instalaciones accesibles NO municipales,Intercambiador Avenida De America,889.39,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,903.93,Bicipark Almagro,"Calle Almagro, 11",12
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,921.63,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,925.14,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,929.01,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,932.64,Bicipark Almagro,"Calle Almagro, 11",12
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,938.38,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,942.23,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,946.39,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,947.88,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,952.37,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,Instalaciones accesibles NO municipales,Calle Martires Concepcionistas 21,952.99,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,959.82,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,962.28,Bicipark Almagro,"Calle Almagro, 11",12
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,963.61,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Sala de Arte Joven,Instalaciones accesibles NO municipales,Avenida America 13,966.65,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,973.49,Bicipark Almagro,"Calle Almagro, 11",12
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,976.6,Bicipark Almagro,"Calle Almagro, 11",12
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,984.54,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,991.6,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,993.46,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,1001.35,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,1009.18,Bicipark Orense,"Avenida General Perón, 27",9
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,1028.37,Bicipark Montalban,"Calle de Montalbán, 5",15
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,1031.92,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,1034.71,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,1036.55,Bicipark Montalban,"Calle de Montalbán, 5",15
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,1036.55,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Mayor Juan Luis Vives,Instalaciones accesibles NO municipales,Calle Francisco Suarez 7,1038.39,Bicipark Recuerdo,"Calle Hiedra, 26",13
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,1042.99,Bicipark Recoletos,"Paseo de Recoletos, 2",3
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,1048.52,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,1053.02,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,1060.93,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,1061.54,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,1068.52,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,1068.7,Bicipark Orense,"Avenida General Perón, 27",9
"Centro de día, centro ocupacional y residencia APADEMA",Instalaciones accesibles NO municipales,Calle Moralzarzal 73,1073.36,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,1074.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,1074.13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,1079.25,Bicipark Montalban,"Calle de Montalbán, 5",15
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,1081.4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,1082.28,Bicipark Almagro,"Calle Almagro, 11",12
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,1084.07,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,1088.97,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,1093.12,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,1100.24,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,1101.19,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,1101.7,Bicipark Montalban,"Calle de Montalbán, 5",15
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,1106.37,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,1106.39,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,1107.94,Bicipark Almagro,"Calle Almagro, 11",12
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,1112.09,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,1115.49,Bicipark Montalban,"Calle de Montalbán, 5",15
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,1122.68,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,1145.82,Bicipark Aviación,Parking Aviación Española,10
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,1145.82,Bicipark Aviación,Parking Aviación Española,10
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,1159.25,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,1161.55,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Museo Nacional de Antropología,Instalaciones accesibles NO municipales,Calle Alfonso Xii 68,1161.94,Bicipark Montalban,"Calle de Montalbán, 5",15
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,1162.91,Bicipark Almagro,"Calle Almagro, 11",12
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,1172.77,Bicipark Orense,"Avenida General Perón, 27",9
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,1176.91,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,1177.73,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,1181.42,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,1190.8,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,1221.29,Bicipark Orense,"Avenida General Perón, 27",9
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,1225.56,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
