Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Sangenjo 38,15004.42,Bicipark Aviación,Parking Aviación Española,10
Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,15005.34,Bicipark Aviación,Parking Aviación Española,10
"Oficina de Correos. Sucursal 102. Avenida Ensanche de Vallecas, 106-108",Instalaciones accesibles NO municipales,Avenida Ensanche De Vallecas 106,15027.17,Bicipark Orense,"Avenida General Perón, 27",9
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,15042.68,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,15078.38,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,Instalaciones accesibles NO municipales,Plaza Rogelio Enriquez 5,15101.8,Bicipark Aviación,Parking Aviación Española,10
Colegio Público Parque Aluche,Instalaciones accesibles NO municipales,Calle Quero 47,15116.06,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,15118.74,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 27. Calle Dobla,Instalaciones accesibles NO municipales,Calle Dobla 5,15138.5,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,15139.5,Bicipark Recuerdo,"Calle Hiedra, 26",13
Biblioteca Pública Javier Marías (Moratalaz),Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 5,15149.77,Bicipark Aviación,Parking Aviación Española,10
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,15158.97,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 37. Calle Marqués de Corbera,Instalaciones accesibles NO municipales,Avenida Marques De Corbera 27,15169.01,Bicipark Aviación,Parking Aviación Española,10
Espacio para mayores Las Tablas,Instalaciones accesibles NO municipales,Avenida Camino De Santiago 39,15181.07,Bicipark Aviación,Parking Aviación Española,10
Sede QuedaT.com Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 15,15186.88,Bicipark Aviación,Parking Aviación Española,10
Colegio Sagrado Corazón. Avenida Alfonso XIII.,Instalaciones accesibles NO municipales,Avenida Alfonso Xiii 127,15189.45,Bicipark Aviación,Parking Aviación Española,10
Sede QuedaT.com Chamartín,Instalaciones accesibles NO municipales,Pasaje Doña Carlota 13,15237.71,Bicipark Aviación,Parking Aviación Española,10
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,15273.57,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Palacio Real de El Pardo,Instalaciones accesibles NO municipales,Calle Manuel Alonso 8,15278.44,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 20. Calle Alcalde López Casero,Instalaciones accesibles NO municipales,Calle Alcalde Lopez Casero 3,15295.12,Bicipark Aviación,Parking Aviación Española,10
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,15314.66,Bicipark Aviación,Parking Aviación Española,10
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),Instalaciones accesibles NO municipales,Travesia Virgen De La Roca 25 Posterior,15321.81,Bicipark Aviación,Parking Aviación Española,10
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,15322.81,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Público Loyola de Palacio,Instalaciones accesibles NO municipales,Calle Embalse De Navacerrada 60,15342.55,Bicipark Recuerdo,"Calle Hiedra, 26",13
Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,15360.82,Bicipark Aviación,Parking Aviación Española,10
